水仙的追迹·第一幕 藻海的寻踪
雅各布: 这样吧，作为交换，我的除锈润滑油你可以带走。就当是给那条蠢狗的问候了。
雅各布: 在新世界的黎明里，应该不会有它和吉约丹的那些幻想的位置。
旅行者(空): 我拒绝。世界没有你想的这么脆弱。
派蒙: 就是就是。我和见过的危机比你吃过的莲花酥还多。每一次都能化险为夷。
雅各布: 你们可真是油盐不进啊。
雅各布: 想起以前的时候，大师每次在小孩子的过家家游戏里扮演的都是恶龙。
雅各布: 谁能知道到最后，他真的成为了勇者，我们面对的恶龙却总是一个个的扑过来。
雅各布: 吉约丹消失了，还有你们这样自以为是的后继者。
派蒙: 你在说什么啊？
雅各布: 时间都已经到了，一如上百年前的预言。他必将归来。
雅各布: 既然你们不愿意给，那我就自己来拿吧。

与雅各布对话
雅各布: 哈…哈…好久不见啊，「蛹」。一点都没有孵化的迹象。
雅各布: 你已经习惯了当毛毛虫吗？
雅各布: 你已经忘记了我们曾经在这里的时间了吗？
雅各布: 相较于我辈的永恒，那段时间属实短暂。但是透过这一瞬闪光，我们掌握了整个宇宙。
卡特皮拉: 我当时仅仅是你们的「展品」，并不能理解你们的伟大计划。而且我对于讨厌的东西记性不是很好。
卡特皮拉: 不过你回来还举行了「驱散仪式」啊，真是讲究。
雅各布: 那是当然，怎么能让灵界杂质与污秽的能量进入大师的空间里呢？
雅各布: 唉，你仍未破茧，最后一定会这样倒退回虚无吧。新世界没有你的位置。
旅行者(空): 把其他部分交出来。
雅各布: 哼，无妨。看来在这次的故事中，你才是手持圣剑的勇者，而我则是倒在剑下的龙。
雅各布: 无所谓了。一切要素已经齐备，击败恶龙的程序也完成了。「理性」就暂时由你保管吧。
雅各布: 毕竟谁也无法真正拥有圣剑，它会经由我们的手奔向它应该去的方向，直到抵达命运的终点。
卡特皮拉: 圣剑可以是任何一种东西。只不过剑会有特别的象征意义。
卡特皮拉: 拿出足以凭依「理性」的东西吧。
派蒙: 那我们就用之前捡到的「水仙十字圣剑」吧。
旅行者(空): （点头。）
雅各布: 这、这是…
卡特皮拉: 接下来呢，雅各布。
雅各布: 啊？哦…嗯。
卡特皮拉: 你不是也希望尽快重铸圣剑吗？
雅各布: 接下来，纯水精灵，你去触碰剑。
安: …是陷阱？
雅各布: 不会的。圣剑虽然可以割舍一切从水中来的意志，但是也可以统合意志。无论秩序还是原始，它都包容。
雅各布: 选择你是因为，就算你只是个梦幻。在你体内也保存着我们水仙十字结社多年收集的…
雅各布: …意志之力。
卡特皮拉: 我们应该相信他吗？
西摩尔: 虽然他的生理体征表现出来的说谎概率很小。但是我仍然进行怀疑。
雅各布: 你们怎么这么磨磨蹭蹭的。像是吉约丹那家伙做出来的生锈的铁皮子一样。
雅各布: 要不要拿除锈油洗一下脑子啊。
旅行者(空): 说到除锈油…
派蒙: 除锈油怎么了吗？
旅行者(空): 那块怀表…
派蒙: 对哦！我们可以用除锈润滑油给那块怀表除锈试试。
雅各布: 你们在说些什么有的没的…
安: 小孩说话大人不要插嘴。
雅各布: …
卡特皮拉: 我也是小孩，嗯。
派蒙: 哦哦，打开了！
派蒙: 里面是…照片？
雅各布: 哼，让人怀念啊。曾经的我、阿兰、雷内、莉利丝院长还有玛丽安。
安: 我，我记得这个照片…
安: 我似乎要记起来了…
西摩尔: 特征匹配，这个是我要保护的玛丽安。
雅各布: 怎么样，除锈润滑油疏通了你们堵塞的决策了吗？
安: 如果不迈出这一步，就永远无法走出回忆。
安: 嗯，那就让我来试试吧。
旅行者(空): 安！
安: 不要紧的，我已经下定决心了。
派蒙: 哇…
派蒙: 原来真的水仙十字圣剑长这样啊？
安: 你是完全没听讲哦。卡特皮拉刚才说了，圣剑可以凭依在任何一种有意义的形状上。
雅各布: …啊…就和我们想象中的水仙十字圣剑…一样…
派蒙: 变、变回来了！
雅各布: 咳咳…好了。我的使命已经完成了，现在我提出一个交易。
雅各布: 现在，纯水精灵，你！请把我的所有情感与记忆，全部都收下吧。
安: 啊？！
雅各布: 我的所有力量也比不上你们，现在我也已经快要消散了。
雅各布: 保存我的一切，在新世界让我和所有人重聚吧。
旅行者(空): （看来他还不知道，最近的事情…）
安: 可是…
雅各布: 根据「密合之约印」我们在枫丹设置了数个节点，就是为了应对世界末日。
雅各布: 如今只有最重要的五处仍存。大师的计划仅有最低限度的实施，但这也是一种成功。
雅各布: 新世界的到来已经注定。我——
安: 我无法吸收你的人格与情感。因为我不要保留现在罪孽深重的你。
雅各布: 哈？
安: 你就算已经不是爱哭鬼雅各布了，也不应该用现在的模样成为永恒。
安: 与之相应的，我们会帮助你，一定会治好你。你要为自己的行为赎罪。
雅各布: 既然你体内有「红女皇」的部分，你就应该知道她拒绝未来。
雅各布: 她想要回到当初水仙十字院的时代，想要看到我们再一次以水仙十字冒险团的名义玩耍。
雅各布: 世界上的永恒，就是美好的回忆。除此无他。
雅各布: 赐给我吧，永恒之物。
安: 我不愿意这么做。我也一定会说服莉利丝的那一部分的。
雅各布: 约定之时已到，看来钟表百年还是快了些时分。
卡特皮拉: 这是怎么回事？
雅各布: 「密合之约印」已经被我逆转，理性之圣剑已经被铸造。「世界式」的正确性已经验证。
雅各布: 「密合之约印」是古代枫丹文明封住生命之源的仪式。现在逆转之后，一切得以解放！
旅行者(空): 太疯狂了！
旅行者(空): 原始胎海！
旅行者(空): 原始胎海不是在梅洛彼得堡…
雅各布: 接下来，就是大师。不，雷内他归来之时了！
雅各布: 他将突破封印，掌握生命之源。至纯的生命之水将随着他的苏生淹没世界，而新的宇宙将由此诞生。
雅各布: 所有的灵魂都将永远保存。意志之剑将沉入海洋，并由此落入它正统的主人手中。
雅各布: 我们所有人一起，也能由此获得对抗末日的力量。
安: 雅各布！
雅各布: 我已经预料到了这具身体命运的终点。「结束了，时针垂降。」
雅各布: 大师在新世界可能得花点功夫寻回我的意志了，不过不用担心。我们新世界再会！
安: 雅各布！

与大家对话
卡特皮拉: 从空间结构来看，下面恐怕就是「格式塔」的内部了吧。
派蒙: 卡特皮拉也没去过吗？
卡特皮拉: 那是最接近大师最终目标的地方。据我所知，去过的人应该不多吧。
旅行者(空): 也就是说下面的情况是未知的。
卡特皮拉: 令人汗颜，但的确如此。
安: 这些是…是什么？
西摩尔: 警告。检测到环境异常变化。
派蒙: 看也能看出来啦！
卡特皮拉: 看样子，时间不多了。赶紧行动吧。
卡特皮拉: 在如雅各布所说的新世界诞生之前。
卡特皮拉: 真是惨烈的结局啊…不过我们可能也无暇悲痛或者感叹了。事态变得紧急了。

与大家对话
派蒙: 好大的机械核心啊。
安: 我们应该怎么下去呢？
卡特皮拉: 「光耦合」设计是吗…看起来，我们需要让所有的射线都打中设计好的目的地。
派蒙: 那应该怎么办呢？
卡特皮拉: 附近应该有什么设备可以操作吧，找找看吧。
安: 前方就是「人格」之块吗？
西摩尔: 无法从密度分析眼前的物质。似乎重量为…零。
卡特皮拉: 看来我们拿下了最后一分。这样至少就可以和对面斡旋一下了。
派蒙: 往好处想的话，至少我们就可以阻止水仙十字结社最后锻造出圣剑了。
卡特皮拉: 并不是，派蒙。我们的最终目的是铸造出圣剑，并且用圣剑去阻止他们的计划。
卡特皮拉: 当然，安，我并没有忘记这柄剑对于你的意义。
卡特皮拉: 能够切割意志的圣剑，对于你是解开谜题的钥匙。其实它对我来说也一样重要。
卡特皮拉: 只不过我们有更重要、更紧迫的事情。我们之后再解答关于自身的谜，你可以接受吗？
安: 我没有问题。
卡特皮拉: 那么，请你去收下「人格」吧。

缪斯的母亲
根据约印的残篇，寻找水仙十字结社的封印。
派蒙: 地上的火堆还在燃烧。话说为什么这里要点火呢？明明是遗迹…
安: 让我来看看这个石碑上面写了什么。
西摩尔: 「此处乃记忆之象限，记忆之厅堂，记忆之间」。
西摩尔: 「生于一瞬」…「常与相违，伴你长眠，从不分离」…「烈火难及」…
卡特皮拉: 谜语啊。枫丹的古文明很喜欢，水仙十字结社也很喜欢。说不上来究竟是古制还是兴趣。
西摩尔: 已经尝试所有关键词检索，并没有答案。
卡特皮拉: 不过这是一个已经解开的谜题，或许答案就和火堆有关吧。
安: 去思考已经解开的谜真的有意义吗？
卡特皮拉: 意义还是有的。就像是你我变成了现在的样子，但是仍然有必要追寻过去发生了什么。
安: 确实呢。
安: 那骑士，你觉得答案是什么呢？

寻找封印
旅行者(空): 结石。
派蒙: 虽然确实火烧不掉结石，而且一直会藏在人脏腑里。但是它不是一瞬诞生的吧。
西摩尔: 是长期的不健康饮食作息形成的，派蒙小姐。
安: 那骑士，你觉得答案是什么呢？
旅行者(空): 影子。
派蒙: 是哦，确实是影子！烈火永远烧不掉又伴随人一生的东西。
派蒙: 不过知道这个被人解开的谜题的谜底又有什么用呢？

调查谜语石板
旅行者(空): 影子。
卡特皮拉: 是的，影子。
卡特皮拉: 光出现的一瞬，影子也相应而生。
派蒙: 虽然我们知道了答案，但门似乎已经被人打开了…接下来要怎么办？
卡特皮拉: 当然是争分夺秒地进去，看看能不能赶在前面这个解题人之前拿到我们需要的东西了。
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
派蒙: 不对，好像是东西已经被人拿走了。
派蒙: 究竟是谁呢？

获取「记忆」之块
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
卡特皮拉: 并不是，看起来是已经被人拿走了。
派蒙: 那岂不是我们的计划已经失败了？
卡特皮拉: 「理性」的诞生需要四个象限合一。只要我们能拿到剩下的几个，我们就还有机会。
安: 既然如此，我们就快点去接下来的地方吧。

流星的投矛
根据约印的残篇，寻找水仙十字结社的封印。
安: …不是，比起这个，你不更应该关注视野内还躺着一个人吗？
派蒙: 欸？哇！怎么回事…
西摩尔: 抱歉小姐，刚才把寻找石碑的优先级提到最高了。现在请让我来进行扫描…
西摩尔: …很抱歉，小姐。
派蒙: 什么？！
卡特皮拉: 他虽然还活着，但是生命的气息已经从他的孔窍中溜走了。我认识这个手段…
派蒙: 呜呜，我不敢看了。
派蒙: 赶紧去找人帮忙吧！可不能就这样放着不管！
？？？: 一同将失去意识的人送到了柔灯港。
柔灯港的人立刻出发，将他送去救治。
随后才放下心来，与众人回到了原来的位置。
派蒙: 好啦，我们看看石碑吧。
西摩尔: 「此处乃愿望之象限，愿望之神殿，愿望之间。」
西摩尔: 「常与相违」…「生于一瞬，伴你长眠，从不分离」…「有染罪果」…
卡特皮拉: 又是谜语。
派蒙: 为什么要在这里做这么可怕的事情…和谜底难道有关吗？
卡特皮拉: 因为枫丹人是「罪人」，是「有染原罪」的生命。
卡特皮拉: 因此答案是「生命」。我已经猜出来了。
安: 你能确定是这个答案吗？
卡特皮拉: 我太熟悉水仙十字结社的那套语言符号系统了。不出意外就是这个答案。
卡特皮拉: 好了，让我们开始争分夺秒吧。

寻找封印
派蒙: 呜啊！这里、这里躺着一个人！
旅行者(空): （检查倒下的人…）
派蒙: 难道说、难道说…
旅行者(空): 还活着，但是没有意识了。
派蒙: 呼，还好还好。
派蒙: 赶紧去找人帮忙吧！可不能就这样放着不管！
？？？: 与派蒙一同，将失去意识的人送到了柔灯港。
柔灯港的人立刻出发，将他送去救治。
随后才放下心来，与派蒙回到了原来的位置。
派蒙: 好啦，我们看看石碑吧。
派蒙: 「此处乃愿望之象限，愿望之神殿，愿望之间。」
派蒙: 「常与相违」…「生于一瞬，伴你长眠，从不分离」…「有染罪果」…
派蒙: 好像是个谜语！
派蒙: 唔，，那么谜底是什么呢？
旅行者(空): 生命？
派蒙: 听起来很奇怪。生命是有染原罪的吗？
派蒙: 不过似乎在哪里听过这个说法。就先当它是好了。
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
派蒙: 不对，好像是东西已经被人拿走了。
派蒙: 究竟是谁呢？

获取「愿望」之块
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
卡特皮拉: 并不是，看起来是已经被人拿走了。
派蒙: 那岂不是我们的计划已经失败了？
卡特皮拉: 「理性」的诞生需要四个象限合一。只要我们能拿到剩下的几个，我们就还有机会。
安: 既然如此，我们就快点去接下来的地方吧。

丘比特的爱人
根据约印的残篇，寻找水仙十字结社的封印。
西摩尔: 「此处乃灵魂之象限，灵魂之庙宇，灵魂之间」…
西摩尔: 「伴你长眠」…「生于一瞬，常与相违，从不分离」…「人间至宝」…
派蒙: 呼——这次没有可怕的东西了。解答是，一个怀表？
派蒙: 说来，安是不是也有一个来着？
旅行者(空): 表的话，确实很贵吧…
派蒙: 所以答案就是钱，也就是摩拉！
卡特皮拉: 和钱一起永眠了可是人生第二大悲剧啊。以及不要问第一大是什么。
安: 那第一悲剧是什么呢？
西摩尔: 这个我知道，答案是「身无分文地躺在棺材里」。
安: 这个价值观不太好哦。世界上更重要的东西有很多。
卡特皮拉: 所以我说了别问啦。
西摩尔: 我很抱歉。
卡特皮拉: 话说回来吧。基于上面的原因，我不认为答案会是名表或者摩拉。
派蒙: 那会是什么呢？
西摩尔: 答案很简单，这个能检索到类似的谜语，匹配率百分之七十。
西摩尔: 出自几百年前的古典小说，原文「我生于一瞬的视线相交，背对着追求之人奔跑。」
西摩尔: 「…割掉所有的肉、骨与内脏，我仍在骨髓中与你同床。」
西摩尔: 答案是「爱」。
安: 这样就理解了。这枚怀表和我的那枚怀表一样，里面一定也有充满爱的回忆吧。
旅行者(空): 那块怀表能打开就好了。
安: 嗯嗯，总有天会打开它的。
安: 笨狗狗，做的不错！你是最可爱的机械狗狗了！
西摩尔: 我的荣幸。不过可爱是个主观形容，我的理想称呼是「可靠、耐用的原型机4ACV07」。
安: 嗯嗯，这就是为什么你这么可爱。
卡特皮拉: …你俩是不是在引经据典。我总感觉我看过这一幕。
卡特皮拉: 无论如何，这里的谜题已经被他人解开。我们尽快行动吧。

寻找封印
派蒙: 这里好像有人不久前来过啊。居然遇到了比我们还熟悉考古探险的人。
派蒙: 地上还有…一块怀表？
派蒙: 按照我们冒险的惯例，让我看看这个石碑提示哦。
派蒙: 「此处乃灵魂之象限，灵魂之庙宇，灵魂之间」…
派蒙: 「伴你长眠」…「生于一瞬，常与相违，从不分离」…「人间至宝」…
旅行者(空): 啊，很明显我的朋友…
旅行者(空): 一个谜语。
派蒙: 思索思索。很贵重的怀表，又是人间之宝…
派蒙: 我明白了，一定是摩拉！
旅行者(空): 不、不太像是…
派蒙: 你说的有道理。一般谜底不会这么俗气的。应该就是，怎么说呢…
派蒙: 对了，是「财富」！
旅行者(空): 很好，我们姑且当作不是吧。
派蒙: 气死我了。你怎么这么不信任我。
派蒙: 那你说这个是什么吧！
旅行者(空): 今天天气挺好的。
派蒙: 喂喂，不要转移话题啊。
旅行者(空): 不重要，先去深处看看吧。
派蒙: 喂喂，不知道就不知道。你不要为了掩饰尴尬走这么快啊，等等我啊。
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
派蒙: 不对，好像是东西已经被人拿走了。
派蒙: 究竟是谁呢？

获取「灵魂」之块
？？？: 仔细检查了机关顶部的空间，什么都没有发现。
派蒙: 结果最后这里什么都没有吗？
卡特皮拉: 并不是，看起来是已经被人拿走了。
派蒙: 那岂不是我们的计划已经失败了？
卡特皮拉: 「理性」的诞生需要四个象限合一。只要我们能拿到剩下的几个，我们就还有机会。
安: 既然如此，我们就快点去接下来的地方吧。

悲喜的面具
根据约印的残篇，寻找水仙十字结社的封印。

前往最后的封印
卡特皮拉: 最后只剩下这里了。
安: 好在入口还是封住的状态。
安: 看来那个雅各布并没有解答这里的谜题。
卡特皮拉: 或者他解答出来了，却无法奉上谜底。
派蒙: 我想想，之前的答案分别是「影子」、「生命」和「爱」。
西摩尔: 然后根据之前的规律，我的逻辑模块推测碑文如下：
西摩尔: 「从不分离」…「生于一瞬，常与相违，伴你长眠」…
派蒙: 然后最后一句写的是——「原初一滴」。
派蒙: 卡特皮拉、西摩尔，你们知不知道这个答案的谜底啊？

与大家对话
卡特皮拉: 我对「原初一滴」这个词有些想法。
卡特皮拉: 听起来像是说世界创造之后的第一场雨。这种意象应该是古枫丹和水仙十字结社都很喜欢的。
派蒙: 那这怎么可能找得到嘛！
卡特皮拉: 所以这一滴水已经融在所有水之中了。每一滴水都是原初的一滴。
卡特皮拉: 就像是原初的神把伟大的潜力散布了开来。我们每个人身体里也都有神圣的成分。
派蒙: 但是答案这么简单的话，前面那人应该可以很简单就供奉出答案啊。
卡特皮拉: 确实如此。应该是我错了。
卡特皮拉: 虽然它不是正确答案，但它仍然是个好答案。我只能觉得设置谜题的人不懂浪漫了。
派蒙: 他还笑你不懂安保呢！
西摩尔: 我无法作答。关于原初一滴的搜索结果有一千二百条。
西摩尔: 「世界上第一滴酒传说是风神…」
旅行者(空): 好了，不用继续了。
西摩尔: 好的。
旅行者(空): 试试吧，咱们去蒙德…
派蒙: 你要死马当活马医的话可以换个靠谱的方向吧！
安: 这个，我似乎有些东西可以分享。
安: 有一个传说，纯水精灵是前代水神的第一滴泪。
安: 而大地上的第一滴泪，正是最早纯水精灵理解了人类之后流下的。
派蒙: 世界上最早的眼泪不应该是第一个人类的婴儿哭出来吗？
安: 动物的流泪其实是排出盐分，而人类在那个平稳的年代，就连出生时都是欢笑着呼吸的。
安: ——传说是这么说的啦。
西摩尔: 其实我认为婴儿的哭泣和动物的排盐可以视作类似的非感性行为。
西摩尔: 婴儿哭泣有外界刺激和为了尽快填充肺部的双重原因。须弥的生论派教材是这么写的。
派蒙: 所以答案是，纯水精灵吗？
派蒙: 那确实前面那人可能供奉不出正确答案呢。
旅行者(空): 死马当活马医吧。
派蒙: 我觉得这个方向还是很靠谱的！
旅行者(空): 我觉得这个方向还是很靠谱的！
派蒙: 比起找风神之酒的死马当活马医行为好多了！
卡特皮拉: 这个以我对水仙十字结社的理解来说，似乎也很合理。
卡特皮拉: 不知在何处做梦的「红女皇」，永远口是心非的「梦中人」。
派蒙: 你说的这些话比谜语本身还难懂欸。
卡特皮拉: 有什么关系嘛。已经是最后的关头了。不论怎么样，在这件事最后，谜底就会揭晓。
旅行者(空): 安，那就麻烦你了。
安: 嗯，让我试试吧。万一我失败了，你们赶紧想想别的答案吧。
派蒙: 打开了！
卡特皮拉: 一定要拿到最后这块，不然圣剑就会落到水仙十字结社的手里了。

与大家对话
安: 前方就是「人格」之块吗？
西摩尔: 无法从密度分析眼前的物质。似乎重量为…零。
卡特皮拉: 看来我们拿下了最后一分。这样至少就可以和对面斡旋一下了。
派蒙: 往好处想的话，至少我们就可以阻止水仙十字结社最后锻造出圣剑了。
卡特皮拉: 并不是，派蒙。我们的最终目的是铸造出圣剑，并且用圣剑去阻止他们的计划。
卡特皮拉: 当然，安，我并没有忘记这柄剑对于你的意义。
卡特皮拉: 能够切割意志的圣剑，对于你是解开谜题的钥匙。其实它对我来说也一样重要。
卡特皮拉: 只不过我们有更重要、更紧迫的事情。我们之后再解答关于自身的谜，你可以接受吗？
安: 我没有问题。
卡特皮拉: 那么，请你去收下「人格」吧。
